block-author:1 , block-round: 133 , payload: 34----->1
block-author:2 , block-round: 134 , payload: 15----->1
block-author:3 , block-round: 135 , payload: 98----->1
block-author:0 , block-round: 136 , payload: 36----->1
block-author:1 , block-round: 137 , payload: 88----->1
block-author:2 , block-round: 138 , payload: 59----->1
block-author:3 , block-round: 139 , payload: 94----->1
block-author:0 , block-round: 140 , payload: 49----->1
block-author:1 , block-round: 141 , payload: 99----->1
block-author:2 , block-round: 142 , payload: 23----->1
block-author:3 , block-round: 143 , payload: 27----->1
block-author:0 , block-round: 144 , payload: 71----->1
block-author:1 , block-round: 145 , payload: 74----->1
block-author:2 , block-round: 146 , payload: 53----->1
block-author:3 , block-round: 147 , payload: 63----->1
block-author:0 , block-round: 148 , payload: 56----->1
block-author:1 , block-round: 149 , payload: 70----->1
block-author:2 , block-round: 150 , payload: 57----->1
block-author:3 , block-round: 151 , payload: 97----->1
block-author:0 , block-round: 152 , payload: 84----->1
block-author:1 , block-round: 153 , payload: 64----->1
block-author:2 , block-round: 154 , payload: 25----->1
block-author:3 , block-round: 155 , payload: 7----->1
block-author:0 , block-round: 156 , payload: 81----->1
block-author:1 , block-round: 157 , payload: 87----->1
block-author:2 , block-round: 158 , payload: 5----->1
block-author:3 , block-round: 159 , payload: 42----->1
block-author:0 , block-round: 160 , payload: 93----->1
block-author:1 , block-round: 161 , payload: 46----->1
block-author:2 , block-round: 162 , payload: 43----->1
block-author:3 , block-round: 163 , payload: 83----->1
block-author:0 , block-round: 164 , payload: 9----->1
block-author:1 , block-round: 165 , payload: 11----->1
block-author:2 , block-round: 166 , payload: 44----->1
block-author:3 , block-round: 167 , payload: 61----->1
block-author:0 , block-round: 168 , payload: 96----->1
block-author:1 , block-round: 169 , payload: 65----->1
block-author:2 , block-round: 170 , payload: 6----->1
block-author:3 , block-round: 171 , payload: 38----->1
block-author:0 , block-round: 172 , payload: 33----->1
block-author:1 , block-round: 173 , payload: 89----->1
block-author:2 , block-round: 174 , payload: 79----->1
block-author:3 , block-round: 175 , payload: 76----->1
block-author:0 , block-round: 176 , payload: 30----->1
block-author:1 , block-round: 177 , payload: 45----->1
block-author:2 , block-round: 178 , payload: 48----->1
block-author:3 , block-round: 179 , payload: 18----->1
block-author:0 , block-round: 180 , payload: 41----->1
block-author:1 , block-round: 181 , payload: 22----->1
block-author:2 , block-round: 182 , payload: 92----->1
block-author:3 , block-round: 183 , payload: 75----->1
block-author:0 , block-round: 184 , payload: 54----->1
block-author:1 , block-round: 185 , payload: 51----->1
block-author:2 , block-round: 186 , payload: 91----->1
block-author:3 , block-round: 187 , payload: 26----->1
block-author:0 , block-round: 188 , payload: 19----->1
block-author:1 , block-round: 189 , payload: 32----->1
block-author:2 , block-round: 190 , payload: 86----->1
block-author:3 , block-round: 191 , payload: 17----->1
block-author:0 , block-round: 192 , payload: 55----->1
block-author:1 , block-round: 193 , payload: 12----->1
block-author:2 , block-round: 194 , payload: 31----->1
block-author:3 , block-round: 195 , payload: 40----->1
block-author:0 , block-round: 196 , payload: 60----->1
block-author:1 , block-round: 197 , payload: 69----->1
block-author:2 , block-round: 198 , payload: 95----->1
block-author:3 , block-round: 199 , payload: 73----->1
block-author:0 , block-round: 200 , payload: 1----->2
block-author:1 , block-round: 201 , payload: 3----->2
block-author:2 , block-round: 202 , payload: 4----->2
block-author:3 , block-round: 203 , payload: 8----->2
block-author:0 , block-round: 204 , payload: 2----->2
block-author:1 , block-round: 205 , payload: 21----->2
block-author:2 , block-round: 206 , payload: 16----->2
block-author:3 , block-round: 207 , payload: 0----->2
block-author:0 , block-round: 208 , payload: 39----->2
block-author:1 , block-round: 209 , payload: 58----->2
block-author:2 , block-round: 210 , payload: 14----->2
block-author:3 , block-round: 211 , payload: 62----->2
block-author:0 , block-round: 212 , payload: 66----->2
block-author:1 , block-round: 213 , payload: 50----->2
block-author:2 , block-round: 214 , payload: 68----->2
block-author:3 , block-round: 215 , payload: 10----->2
block-author:0 , block-round: 216 , payload: 77----->2
block-author:1 , block-round: 217 , payload: 85----->2
block-author:2 , block-round: 218 , payload: 37----->2
block-author:3 , block-round: 219 , payload: 80----->2
block-author:0 , block-round: 220 , payload: 47----->2
block-author:1 , block-round: 221 , payload: 78----->2
block-author:2 , block-round: 222 , payload: 52----->2
block-author:3 , block-round: 223 , payload: 72----->2
block-author:0 , block-round: 224 , payload: 35----->2
block-author:1 , block-round: 225 , payload: 28----->2
block-author:2 , block-round: 226 , payload: 24----->2
block-author:3 , block-round: 227 , payload: 29----->2
block-author:0 , block-round: 228 , payload: 15----->2
block-author:1 , block-round: 229 , payload: 13----->2
block-author:2 , block-round: 230 , payload: 36----->2
block-author:3 , block-round: 231 , payload: 98----->2
block-author:0 , block-round: 232 , payload: 82----->2
block-author:1 , block-round: 233 , payload: 88----->2
block-author:2 , block-round: 234 , payload: 20----->2
block-author:3 , block-round: 235 , payload: 49----->2
block-author:0 , block-round: 236 , payload: 59----->2
block-author:1 , block-round: 237 , payload: 90----->2
block-author:2 , block-round: 238 , payload: 23----->2
block-author:3 , block-round: 239 , payload: 94----->2
block-author:0 , block-round: 240 , payload: 74----->2
block-author:1 , block-round: 241 , payload: 64----->2
block-author:2 , block-round: 242 , payload: 84----->2
block-author:3 , block-round: 243 , payload: 5----->2
block-author:0 , block-round: 244 , payload: 34----->2
block-author:1 , block-round: 245 , payload: 56----->2
block-author:2 , block-round: 246 , payload: 53----->2
block-author:3 , block-round: 247 , payload: 27----->2
block-author:0 , block-round: 248 , payload: 67----->2
block-author:1 , block-round: 249 , payload: 99----->2
block-author:2 , block-round: 250 , payload: 57----->2
block-author:3 , block-round: 251 , payload: 43----->2
block-author:0 , block-round: 252 , payload: 63----->2
block-author:1 , block-round: 253 , payload: 25----->2
block-author:2 , block-round: 254 , payload: 81----->2
block-author:3 , block-round: 255 , payload: 87----->2
block-author:0 , block-round: 256 , payload: 93----->2
block-author:1 , block-round: 257 , payload: 46----->2
block-author:2 , block-round: 258 , payload: 7----->2
block-author:3 , block-round: 259 , payload: 38----->2
block-author:0 , block-round: 260 , payload: 42----->2
block-author:1 , block-round: 261 , payload: 71----->2
block-author:2 , block-round: 262 , payload: 97----->2
block-author:3 , block-round: 263 , payload: 70----->2
block-author:0 , block-round: 264 , payload: 75----->2
block-author:1 , block-round: 265 , payload: 9----->2
block-author:2 , block-round: 266 , payload: 11----->2
block-author:3 , block-round: 267 , payload: 44----->2
block-author:0 , block-round: 268 , payload: 22----->2
block-author:1 , block-round: 269 , payload: 61----->2
block-author:2 , block-round: 270 , payload: 6----->2
block-author:3 , block-round: 271 , payload: 96----->2
block-author:0 , block-round: 272 , payload: 83----->2
block-author:1 , block-round: 273 , payload: 33----->2
block-author:2 , block-round: 274 , payload: 48----->2
block-author:3 , block-round: 275 , payload: 18----->2
block-author:0 , block-round: 276 , payload: 79----->2
block-author:1 , block-round: 277 , payload: 41----->2
block-author:2 , block-round: 278 , payload: 76----->2
block-author:3 , block-round: 279 , payload: 45----->2
block-author:0 , block-round: 280 , payload: 91----->2
block-author:1 , block-round: 281 , payload: 30----->2
block-author:2 , block-round: 282 , payload: 89----->2
block-author:3 , block-round: 283 , payload: 92----->2
block-author:0 , block-round: 284 , payload: 51----->2
block-author:1 , block-round: 285 , payload: 65----->2
block-author:2 , block-round: 286 , payload: 54----->2
block-author:3 , block-round: 287 , payload: 32----->2
block-author:0 , block-round: 288 , payload: 26----->2
block-author:1 , block-round: 289 , payload: 19----->2
block-author:2 , block-round: 290 , payload: 17----->2
block-author:3 , block-round: 291 , payload: 55----->2
block-author:0 , block-round: 292 , payload: 86----->2
block-author:1 , block-round: 293 , payload: 12----->2
block-author:2 , block-round: 294 , payload: 31----->2
block-author:3 , block-round: 295 , payload: 40----->2
block-author:0 , block-round: 296 , payload: 60----->2
block-author:1 , block-round: 297 , payload: 69----->2
block-author:2 , block-round: 298 , payload: 73----->2
block-author:3 , block-round: 299 , payload: 95----->2
block-author:0 , block-round: 300 , payload: 1----->3
block-author:1 , block-round: 301 , payload: 3----->3
block-author:2 , block-round: 302 , payload: 4----->3
block-author:3 , block-round: 303 , payload: 8----->3
block-author:0 , block-round: 304 , payload: 2----->3
block-author:1 , block-round: 305 , payload: 21----->3
block-author:2 , block-round: 306 , payload: 16----->3
block-author:3 , block-round: 307 , payload: 0----->3
block-author:0 , block-round: 308 , payload: 39----->3
block-author:1 , block-round: 309 , payload: 58----->3
block-author:2 , block-round: 310 , payload: 14----->3
block-author:3 , block-round: 311 , payload: 62----->3
block-author:0 , block-round: 312 , payload: 66----->3
block-author:1 , block-round: 313 , payload: 50----->3
block-author:2 , block-round: 314 , payload: 68----->3
block-author:3 , block-round: 315 , payload: 10----->3
block-author:0 , block-round: 316 , payload: 77----->3
block-author:1 , block-round: 317 , payload: 47----->3
block-author:2 , block-round: 318 , payload: 78----->3
block-author:3 , block-round: 319 , payload: 85----->3
block-author:0 , block-round: 320 , payload: 80----->3
block-author:1 , block-round: 321 , payload: 37----->3
block-author:2 , block-round: 322 , payload: 52----->3
block-author:3 , block-round: 323 , payload: 35----->3
block-author:0 , block-round: 324 , payload: 72----->3
block-author:1 , block-round: 325 , payload: 24----->3
block-author:2 , block-round: 326 , payload: 13----->3
block-author:3 , block-round: 327 , payload: 98----->3
block-author:0 , block-round: 328 , payload: 29----->3
block-author:1 , block-round: 329 , payload: 20----->3
block-author:2 , block-round: 330 , payload: 15----->3
